HVH_031_0132_0001	訓功過一事我爲之題達 桂宮蒙文聖奏。
HVH_031_0132_0002	旨一款可爲諸生賀。
HVH_031_0132_0003	賜求仁社引。
HVH_031_0132_0004	由堂内請設布施放生一社。
HVH_031_0132_0005	昔孔門敎人以求仁爲要。
HVH_031_0132_0006	何也。
HVH_031_0132_0007	仁人心也。
HVH_031_0132_0008	桃杏而無仁。
HVH_031_0132_0009	曷以發生。
HVH_031_0132_0010	人心而不仁。
HVH_031_0132_0011	曷以全其生理乎。
HVH_031_0132_0012	因思之。
HVH_031_0132_0013	仁不在大小。
HVH_031_0132_0014	不在多少。
HVH_031_0132_0015	要在初頭一箇念流出。
HVH_031_0132_0016	則事雖小而可以感發千萬人之心。
HVH_031_0132_0017	物雖少而可以感化千萬家之人。
HVH_031_0132_0018	有如集善堂譜。
HVH_031_0132_0019	所請募緣置本量爲布施放生二者。
HVH_031_0132_0020	亦人心也。
HVH_031_0132_0021	故述聖人求仁功過格校編新訂卜籤法百三十之敎名其社以爲諸生勸。
HVH_031_0132_0022	示。
HVH_031_0132_0023	條例由諸生隨其人心酌擬。
HVH_031_0132_0024	奉擬條例。
HVH_031_0132_0025	一普題兩恒。
HVH_031_0132_0026	總計得本銀千。
HVH_031_0132_0027	仍遴確有心力者保認生意二分。
HVH_031_0132_0028	每年摘取息銀均爲二份。
HVH_031_0132_0029	一送乞者。
HVH_031_0132_0030	一放生物。
HVH_031_0132_0031	每月晦日支發。
HVH_031_0132_0032	一每月送乞者銀一份換取青錢交社内同人認回。
HVH_031_0132_0033	隨綠施送至如放生銀一份宜買𩿔鳥小鳥及朝斗魚小魚。
HVH_031_0132_0034	小魚者類飯禮祠前即放。
HVH_031_0132_0035	一通計題數。
HVH_031_0132_0036	做得一百元以上者。
HVH_031_0132_0037	方可收回放息。
HVH_031_0132_0038	俟收息聽行開嗣後若有增題數下仍續交生意以長善因。
HVH_031_0132_0039	成泰十四年壬寅二月初四夜。
HVH_031_0132_0040	候禱堂内。
HVH_031_0132_0041	黎德順請捐刊呂祖全書事奉
