HVH_010_0015_000001	五代福端公房男長子諱石，字玉瓊，知縣，生男六传只四世。
HVH_010_0015_000002	公乃福端公之M，男配潘氏，號淑寶。
HVH_010_0015_000003	生男五女二：次男阮金遗店庙憲男第三真情公，冠带局富润身，局爵富润男夀，三十九，四月初四日，忌煙柱。
HVH_010_0015_000004	丁未年生，官冠带（按金孺人，彰德縣美仙村人，三十歲而煽，家贫子幼，乃强携。
HVH_010_0015_000005	初十日忌，葬芳烈船府，半月照女生子二男：女婆明嫁金萃儒，生范姓，二子回外贯，倚恃兄弟，教育二子，至於長成，節行周全。
HVH_010_0015_000006	男第四惠泰公，四月十二日忌，葬船府。
HVH_010_0015_000007	癸丑年生。
HVH_010_0015_000008	治，字文春，鄉试中生，徒，爵七十。
HVH_010_0015_000009	福度公房.。
