HVH_014_0034_0001	黎臣安清侯阮淦(本朝始祖後追尊為昭皇帝)避亂入居哀牢。
HVH_014_0034_0002	哀牢生乍斗。
HVH_014_0034_0003	以岑州(屬鎮蠻府)歸之，畜養士馬，志圖恢復。
HVH_014_0034_0004	迎立君尊以子，即位于哀牢，建元元和，是為莊宗。
HVH_014_0034_0005	進兵討莫，賊破之，克復清乂等處，遷都于清化萬賴柵(今清化瑞原縣時屬南)。
HVH_014_0034_0006	洋教士衣泥樞潛來膠水之茶縷等社(屬南定)傳爺蘇教是為爺蘇教入我國之始按批史明嘉靜末，西洋人利瑪竇航海漫遊諸國，抵我國及北國之廣東界。
HVH_014_0034_0007	尋入燕京，其徒皆尚天主改良蒙學國史教科書  近世統一時代  三十證之我史，正當衣泥樞入我國之辰，則爺蘇教之行於亞細亞中部、東南部，其皆以此時始歟？
HVH_014_0034_0008	世尊，英尊長子，時阮淦為莫降將所飴中毒卒。
HVH_014_0034_0009	其壻鄭(鄭氏始祖)兼領諸營軍務，莫敬典率舟師進至神符海口，安謨縣(今宁平省)分道來侵，設伏兵于治江兩岸，擊破之。
HVH_014_0034_0010	第二十二節  鄭主之當國與本朝之勑封莊尊無嗣，大臣迎立英尊，時阮潢(本朝追尊太祖)破莫寇有功，鄭檢忌之，以順化(今承天廣南)險遠，表請鎮其地
