HVH_010_0075_000001	名優中卿貢四名，甫名在第三，勝精，得之非無。
HVH_010_0075_000002	自来年三十一。
HVH_010_0075_000003	乙酉科，御试内取中二十八。
HVH_010_0075_000004	是科，提調禮部参知阮公登洵監試，協阮奉是科0爵。
HVH_010_0075_000005	阮文超弟三名，是甫，弟四名。
HVH_010_0075_000006	嘉平。
HVH_010_0075_000007	沂曲。
HVH_010_0075_000008	阮直方。
HVH_010_0075_000009	餘不必書。
HVH_010_0075_000010	同榜二十八人，優项四名，弟一名東鄂。
HVH_010_0075_000011	黄濟美，弟二名壽昌東。
HVH_010_0075_000012	年三十二。
HVH_010_0075_000013	丙戌，来京，會试不得志。
HVH_010_0075_000014	已丑，會試，策文稍佳，又不八格。
HVH_010_0075_000015	家贫路遠，费倚於人，復何堪不獲！
HVH_010_0075_000016	已從部行走半。
HVH_010_0075_000017	35。
HVH_010_0075_000018	天上人乎，天地間理與氣而已。
HVH_010_0075_000019	志之所至，氣亦至焉。
HVH_010_0075_000020	氣所之未卒也。
HVH_010_0075_000021	縱仕途亨達，终身不免有所遗憾。
HVH_010_0075_000022	世之进士，豈年，然亦無心縣送也。
HVH_010_0075_000023	猛然思謂為舉业而不至進士，殆業至，福亦至焉。
HVH_010_0075_000024	志於甲第，量力能之，福将安在，遂稱疾。
HVH_010_0075_000025	庚寅年，復回貫肆业，闭戶讀書，研究經義，来注。
HVH_010_0075_000026	上尋繹賢八代家文，回六法海，以廣其意见，得其句法，及前黎場屋中式及辰文，或與高設論可否得中肆外之科。
HVH_010_0075_000027	初更制藝文法，場官過刻削應中分数，餘竟就純燕。
HVH_010_0075_000028	甫禀甚薄，以詩書勤苦早哀。
HVH_010_0075_000029	是年已病耳鳴。
HVH_010_0075_000030	年三十八。
HVH_010_0075_000031	壬辰科，来應會试，中格第六名，是卷饼十分者，时制四場文+聖祖仁皇帝加恩）二場，諸预有批，每卷各加一分，足十分者，進卷甚寥寥。
HVH_010_0075_000032	惟甫卷文理八分，餘或五六。
HVH_010_0075_000033	分。
HVH_010_0075_000034	以下奉题夏雲多奇峯詩，用五言排律。
HVH_010_0075_000035	晚奉召八瀛洲阁下中以合場規正榜八人各如之。
HVH_010_0075_000036	甫卷與中立范士愛。
HVH_010_0075_000037	東鄂。
HVH_010_0075_000038	范嘉奉圣上，断然宾之。
HVH_010_0075_000039	正榜未庭對，尋奉應制御，普赏大飛龍白金残。
HVH_010_0075_000040	五黄金錢一。
HVH_010_0075_000041	蓋異格也。
HVH_010_0075_000042	諸科進士所未有也。
HVH_010_0075_000043	五月，奉殿试庭對，在勤政殿之左右应读卷+。
