HVH_006_0014_000001	金飞凤伞，元帥行天宜陽事到頭，锦引龙舟。
HVH_006_0014_000002	0O。
HVH_006_0014_000003	阮祖扶黎求得宗子，莊宗立之，以防東越。
HVH_006_0014_000004	本朝肇祖初仕，遭莫乱，入居哀宇，志風恢。
HVH_006_0014_000005	鄭檢统軍郭檢表肇祖于太祖，入镇顺廣黎。
HVH_006_0014_000006	莊宗帝出经，入挺西都。
HVH_006_0014_000007	肇祖卒，使肇祖扶黎。
HVH_006_0014_000008	後哀年，起義旗。
HVH_006_0014_000009	阮節镇南鄭木師師典莫交攻彼出，我，歸彼最我出经百戦，太師鄭檢出伐莫敬典入，惊情化檢以放根本，莫引歸，昇龍，復将玫莫鄭太人
