HVH_007_0017_000001	敕保寧公主河海秀山，出英毓玉資永資國邑，國民鼓露抗春臺。
HVH_007_0017_000002	出神入华，天威護国，壽昌於磐泰，越濯既彰美，嗣王進封，合褒封，载本尋章为纯慈淑公主。
HVH_007_0017_000003	故王位疏居正府，禮有登秩，衣加美字）三字，可加封。
HVH_007_0017_000004	保寧莊正貞敕。
HVH_007_0017_000005	景興四十四年七月二十六日，救保室公主莊正貞纯慈淑河海秀山，川英毓玉，贺水资国色，固民鼓舞於告意，出神入聖，天威沪国，素昌於磐泰，赫濯就彰美壹褒封，再牵彝章为默相。
HVH_007_0017_000006	皇家穹圖沒，正禮当隆秋忘加封美字三字，可加封。
HVH_007_0017_000007	保家莊不救貞纯慈淑芳港嘉行纯一公主故。
HVH_007_0017_000008	昭统元年三月二十二日。
