HVH_029_0054_0001	諸生一叙、謹演孝姑舅歌録歌。
HVH_029_0054_0002	女子在家從父母、到笄旬事姑舅、代即君、昔唐妻孝事慈親、滴乳汁不分冬與夏、數十載不離膝下、孝親名永播在詩章、昔盧娘孝事慈堂、自賊刁何嘗驚與畏、矢一念不辭骨死、孝親名永記在書中、歎今人古道難逢、求一孝無中難得、有願世人事姑事舅、舅與姑皆父母生成、天然地轉理明明、我先孝後生還孝我、一孝綿綿千載下、子若孫長惹桂蘭香、易人倫錄事集五十四云積善餘慶、我回海門故祠去矣亥時弘聖范大王詩。
HVH_029_0054_0003	山河故地故龍編、訟獄千疑決秘玄、千盾逞時揚武烈、嶺枷施虜主宜權、酸情爲歎紅波地、苦思還嗟黑障天、鶯駕鴛來勞玉步、山河故地故龍編。
HVH_029_0054_0004	廻文格詰我黎朝太尉也、輔黎皇有大功、及後上帝勅爲獄訟盟主、今吾祠在龍編城外、人共見也、吾生前以家法敎子孫、共成材噐、至今承命及壇、豈無一詞以訓世
