HVH_003_0021_000001	雲瓜之脉，地言脉可知。
HVH_003_0021_000002	依竜形颜颊，山现蛾眉，内城織结那万透运，上多下主迎客随保禄縣四豪左在中落，最宜公侯责至，富贵重辉傍我衣。
HVH_003_0021_000003	生将租出修保禄，恭譲其形可尚山峰幸生水，朝会，内外相连，左衣相向，禽星旗開，鼓形经帳在中庄。
HVH_003_0021_000004	平野云地术澄清，竜頭顿起，虎臂環辞，山接形芳鐘英居中腹，世出公卿。
HVH_003_0021_000005	傍桜後向，四水远城，前呼後應，主美客明友石交盛烈吉地。
HVH_003_0021_000006	山隐而来，水澄而止。
HVH_003_0021_000007	芳有风周状四美，泉水来朝群山峰究在花心垂餘从起大公代富贵。
HVH_003_0021_000008	一四保禄安謨竞雄氣洋，山頭顿跃，水城紫行虎向礼可收。
HVH_003_0021_000009	发生相代，科途修意化意送虎越，主容相應，形芳相教，在條安世縣寨
