HVH_012_0042_0001	貞潔曾毀傲虞顏
HVH_012_0042_0002	仍芳何分一世那邀代
HVH_012_0042_0003	鶴唳哀輓
HVH_012_0042_0004	抱憂可長遠別憾知幾多
HVH_012_0042_0005	處中安且公此
HVH_012_0042_0006	惻恍移春五晷呈四慕手雙杯題
HVH_012_0042_0007	紅綾椿世後強陸陵𡦂催桂
HVH_012_0042_0008	特惻罷匹腹花頭𠁀達陵𡦂𠁀𦣗
HVH_012_0042_0009	昔且憂學其後去迹涇呈同老後懷
HVH_012_0042_0010	管𠊛少卅𠁀𢿎人中在早播
HVH_012_0042_0011	青濁𠁀鬼我𦣗𠁀今日徒多
HVH_012_0042_0012	天地風塵紅顏多舛悠悠彼蒼兮誰造因
HVH_012_0042_0013	鼓鼙聲動長城月烽火影照甘泉雲
HVH_012_0042_0014	九重按劍起當席半夜羽檄傳將軍
HVH_012_0042_0015	意氣高壯士慷慨行君王親指畫羽衛出建章
HVH_012_0042_0016	颯颯行人衣青𪱟神房
