HVH_013_0032_0001	人孤立，漢興而大封同姓；五代臣強，宋而收藩鎮權。
HVH_013_0032_0002	損益之理，其想亦合當如此，乃撐東而西傾，捉襟而肘見，世儒却就末流之宿弊上說而未可專咎於當時作法之意乎。
HVH_013_0032_0003	一大同小康，世道之升降不同，即度數不可以膠於一定。
HVH_013_0032_0004	文章、氣象而順乎風氣之宜，則於中而其迹不同，順乎其美，固非此，喬野、蠢愚，凡俗有隆污，亦不一，即文為不可以拘於一偏，忠、質、文變而隨乎啟發之。
HVH_013_0032_0005	蓋則本是道，而所就各有所重，要當於三代之治，底於善而已。
HVH_013_0032_0006	自秦漢以來而不復見帝王之治，以後世苟道不能因，亦以有如是耳，若有更大者，作則三王之制作已詳，因於損益而能合乎時宜，則三代之治可復見於千載之下矣。
HVH_013_0032_0007	若夫風氣之未開，與之以未至也，不怛惻，以心忠厚之教禮樂之敷，制度之著，先天以開人，通變而不倦，神化而宜民，有以開秦於富強也，祟之後，前舜而制作，至舜而始詳，後舜而世王，因舜而始述，則莫作或治也。
HVH_013_0032_0008	而求其可詳在人，有作亦何乎其孰或為無以過後，無以加矣！
HVH_013_0032_0009	一因一推，此則酬酌的損益，因於而已，可合乎時矣，莫非從周之意乎！
HVH_013_0032_0010	何則文質絜宜於周，所以為推，文武暨三代之意，則或沿或革之理，不可無酌分考，古方可以備乎帝王之先
