HVH_013_0084_0001	撥、依先將国、以安平殘、乗是以曹瞞猘抗、名声大振、新野为盖。
HVH_013_0084_0002	在軍鼎足咸而一隅、地可憑此人心其可縻矣到、統来此既敗只銳気不衰奉天为盖強、卒鐘虞後而両京、基不失此人心其可維亦幹、基止流徙持首京克後皆在於得民也。
HVH_013_0084_0003	宋氏立国祖孼尊培根本仁美見於真方秀沆者原是为植国、本美雖划得国，初世宏妻陀無僕剣廋、武界岐其後北鄰西拒不便、为寅廋服泄、更而原其仁美、凡既視僕廋而無歡岐維形苛、食不为僕也土地、度不以为廋也而仁刘民情、有思徳古風而無叛度、何朝恃此人心以堅載收可復统而固存社稷長遠更廿九詔麽所恃者人心也臣民、言可先其憂憂奉令一、連奔自臨御以来以愛民君道、大綱划灾傷、賑貸賙耗、調劑。
HVH_013_0084_0004	後則撫瘵、不虐不及三也軍法、寬釋稅例、蠲除。
HVH_013_0084_0005	降赦蠲租、畀𥳓以寬、改必求，竟容婷施惰最涼不过是，仰其古方襄不好美而急公公，求迩来南圻有有稍有物力々，刘捐貲以助費，稍知勇芸去，刘募勇以代軍，南寔奎翭划姑官，好民不污於匪党，恩惠足以固结，懇烝々心，此可𪶲見誠小民祈永命其道已去，是美伏願。
HVH_013_0084_0006	皇上心有如無已，恵保小民，尤有心培三百載，彷障，椅綏眷庶，尤有心度廿餘年，豊券，仁心似此，刘民悵其蜀
