HVH_010_0049_000001	男配鄭氏，號妙謹。
HVH_010_0049_000002	劍知变武伯，字福勤。
HVH_010_0049_000003	生女（二49一。
HVH_010_0049_000004	男隊長，壽八十四，庶室富川美林人。
HVH_010_0049_000005	生男澤。
HVH_010_0049_000006	男胤。
HVH_010_0049_000007	女環，女就。
HVH_010_0049_000008	女蕴。
HVH_010_0049_000009	按郡公尊公所出，女行各不详，僅得其如此。
