HVH_027_0007_0001	生下嘉會公玖月初伍日忌。
HVH_027_0007_0002	墓在市村蒙足處。
HVH_027_0007_0003	先祖考黎朝校生朱嘉會公成父志卒文業村庄絳懷樂趣舌拂及門都小以成小大以成大生前市村内村文會會長死後市村内村祭之以禮存吾順也嗟吾尊焉公伍拾歲歸愚如公者庶幾無忝所生矣。
HVH_027_0007_0004	先（第拾世）祖考祭剏校生朱公子嘉會號福成府君。
HVH_027_0007_0005	（草堂）先祖妣黎朝校生朱公正室朱氏號慈行孺人柒月拾貳日忌墓在内村寺邊處。
HVH_027_0007_0006	伍月参拾日忌墓在市村菇墅處。
HVH_027_0007_0007	生下復栄男余于與貳支于安居内土参支原子率卑祖卜吾市村我嘉猷公其柒男之壹支于也嘉猷公墓伍
