HVH_028_0027_0001	次支
HVH_028_0027_0002	十世 周文連
HVH_028_0027_0003	十一世 起祖考周文誼 里長 妣馮氏嬪 生周文訖 周氏栗 周氏未 周文乙 周文成 周文亥 正月十七日
HVH_028_0027_0004	十二世 廿二 考周文訖 〇 殤 周文乙郎授 里長 周氏檄 生周文紀 周文統 周氏仡 八月十四日
HVH_028_0027_0005	十三世 廿三 周文紀 周氏魚 生周文綱 周氏点 周氏黙 馮氏例
