HVH_014_0043_0001	清政府聞之召士毅還遣福康安代之
HVH_014_0043_0002	光中帝既破清兵定都昇隆改昇隆爲北城時清人懾
HVH_014_0043_0003	帝威自諒山關以北老弱扶攜奔走數百里無人煙康
HVH_014_0043_0004	安逃命不敢進
HVH_014_0043_0005	第三十三節 西山之七
HVH_014_0043_0006	光中帝復回富春城積穀儲兵爲復兩廣計大志未遂
HVH_014_0043_0007	[ ]祖在位五年子光纘立本朝世祖攻歸仁城 岳
HVH_014_0043_0008	[ ]憂之因據其地岳憤恨嘔血死光纘殺岳 子
HVH_014_0043_0009	[ ]本朝戰兵敗被擒西山亡
HVH_014_0043_0010	右西山二世凡十五年
HVH_014_0043_0011	末宗
