HVH_002_0058_000001	膠水檜溪正一旁二。
HVH_002_0058_000002	膠水檜溪地脉平，夷童重宜主客追随前水交後山生板水城織結山勘透迤。
HVH_002_0058_000003	118文魁天下武童兵威。
HVH_002_0058_000004	但嫌水逼贵，不久持。
HVH_002_0058_000005	118
