HVH_018_0073_0001	寧平巡撫阮
HVH_018_0073_0002	爲循例彙修各冊事承照去年自柒月朔至玖月底該爲
HVH_018_0073_0003	在首給發俸餉及諸公務各項粟未除預支各款俟後工竣另奉彙冊開銷外
HVH_018_0073_0004	該爲個月何月現支票米數并逐欸臚列如左
HVH_018_0073_0005	計開
HVH_018_0073_0006	一去年柒捌玖該參個月支發各項米肆千陸百陸拾壹方柒碗肆合壹勺玖抄
HVH_018_0073_0007	、、又糯票拾肆斛貳拾肆升、、
