HVH_010_0054_000001	先興公傳公付刑公長男，卿貢奉侍二跡，文職将仕郎。
HVH_010_0054_000002	先典府儒学訓導，公最有文名。
HVH_010_0054_000003	東阁校書梁公以進士期之，代而青雲之志未酬，白首無限也。
HVH_010_0054_000004	會試累中三場，投先。
HVH_010_0054_000005	然典府教有年，士子信從者眾。
HVH_010_0054_000006	黎制會试，鄉貢，累中，卒，葬芳烈社，分正月二十四日忌習士子並生徒稍通者，皆由教官去取，縣無訓導。
HVH_010_0054_000007	。
HVH_010_0054_000008	54。
HVH_010_0054_000009	鄉貢嘉定知縣，流落於原蒞之神溪伯水村貧寒。
HVH_010_0054_000010	男嘉定公傅分公付刑公弟二男譽，丁丑年生。
HVH_010_0054_000011	鄉貢奉侍二跡，文職在縣常折抑豪强，吏畏民懷。
HVH_010_0054_000012	公壽七十四。
HVH_010_0054_000013	2.生子：男三。
HVH_010_0054_000014	女二男。
HVH_010_0054_000015	#綏男。
HVH_010_0054_000016	富平公传生鄉貢，會试，累中三場，授太原之富平府儒学訓道公付刑公弟三男閃，字有伙。
HVH_010_0054_000017	戊申年四月十三日申牌，黎季西僭，避居延河，在此搜徒，信從者眾，其鄉榜眼。
